,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
20790,Lichtenberg,Neu Lichtenberg,Entire home/apt,130,2,6,2.09,1,171
20791,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,50,3,10,5.08,1,150
20792,Mitte,Brunnenstr. Süd,Entire home/apt,120,5,2,0.98,1,14
20793,Mitte,Alexanderplatz,Private room,30,2,2,1.05,3,0
20794,Neukölln,Reuterstraße,Private room,30,3,1,0.39,1,47
20796,Lichtenberg,Neu Lichtenberg,Entire home/apt,38,3,13,4.81,1,24
20797,Neukölln,Reuterstraße,Private room,25,7,1,0.35,1,35
20798,Mitte,Moabit West,Entire home/apt,100,1,14,5.06,1,0
20799,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,30,2,3,3.0,1,81
20801,Marzahn - Hellersdorf,Biesdorf,Entire home/apt,60,5,2,0.86,1,0
20802,Pankow,Prenzlauer Berg Südwest,Private room,45,7,2,1.3,1,35
20805,Pankow,Prenzlauer Berg Südwest,Private room,55,2,11,4.46,1,154
20806,Marzahn - Hellersdorf,Biesdorf,Private room,25,2,1,0.39,1,89
20807,Tempelhof - Schöneberg,Friedenau,Private room,25,2,6,2.73,1,166
20808,Lichtenberg,Alt-Lichtenberg,Private room,50,3,1,0.48,2,221
20809,Tempelhof - Schöneberg,Tempelhof,Private room,30,2,2,0.79,2,37
20810,Charlottenburg-Wilm.,Schmargendorf,Private room,64,1,1,0.36,1,0
20811,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,90,5,1,0.47,1,0
20812,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,50,2,6,2.34,3,5
20814,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,39,30,1,1.0,1,91
20815,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,80,4,6,3.53,1,9
20816,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,27,3,6,2.5,1,28
20817,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Private room,16,19,1,1.0,1,0
20818,Mitte,Wedding Zentrum,Private room,25,4,4,1.67,2,20
20820,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,40,4,1,0.46,1,0
20822,Pankow,Prenzlauer Berg Nordwest,Private room,30,5,2,0.88,1,341
20823,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,50,3,4,2.31,1,0
20824,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,59,3,6,2.28,1,35
20825,Pankow,Weißensee,Entire home/apt,35,7,4,1.71,1,0
20826,Tempelhof - Schöneberg,Tempelhof,Private room,35,1,1,1.0,1,49
20827,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,35,1,16,5.65,1,27
20829,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,45,2,16,6.58,2,134
20830,Neukölln,Schillerpromenade,Private room,25,2,7,2.73,1,57
20831,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,45,2,5,2.03,2,3
20832,Pankow,Schönholz/Wilhelmsruh/Rosenthal,Entire home/apt,50,1,2,0.97,1,80
20833,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,20,6,2,0.8,1,98
20834,Mitte,Moabit West,Private room,23,1,1,0.48,2,0
20835,Neukölln,Neuköllner Mitte/Zentrum,Private room,110,3,3,2.0,1,35
20836,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,50,8,1,1.0,2,18
20837,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,70,1,7,3.0,1,46
20838,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,35,1,11,4.07,1,46
20839,Pankow,Prenzlauer Berg Südwest,Entire home/apt,80,1,22,9.3,1,31
20840,Mitte,Osloer Straße,Entire home/apt,110,3,7,4.04,1,159
20841,Neukölln,Rixdorf,Entire home/apt,65,3,2,0.81,1,0
20842,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,59,5,6,3.46,2,23
