,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12981,Pankow,Prenzlauer Berg Nord,Entire home/apt,60,50,21,1.22,1,151
12982,Treptow - Köpenick,Alt  Treptow,Entire home/apt,64,3,2,0.12,1,0
12984,Mitte,Brunnenstr. Nord,Private room,27,5,8,0.46,2,0
12985,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,100,3,10,0.59,1,185
12986,Pankow,Prenzlauer Berg Südwest,Entire home/apt,65,3,25,1.47,1,67
12987,Neukölln,Reuterstraße,Entire home/apt,60,3,4,0.24,1,0
12988,Charlottenburg-Wilm.,Kurfürstendamm,Entire home/apt,199,14,1,0.77,26,57
12989,Mitte,Osloer Straße,Private room,20,6,2,0.11,2,0
12990,Pankow,Prenzlauer Berg Ost,Entire home/apt,70,2,12,0.76,1,0
12994,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,59,3,8,0.46,1,185
12995,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,50,1,12,0.69,1,0
12996,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,130,3,4,0.27,2,0
12997,Mitte,Brunnenstr. Süd,Private room,38,2,39,2.28,1,30
12998,Mitte,Osloer Straße,Private room,35,3,10,0.57,2,97
12999,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,50,2,20,1.14,1,0
13000,Neukölln,Britz,Private room,26,2,3,0.17,1,0
13001,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,35,4,15,0.89,1,6
13004,Mitte,Osloer Straße,Entire home/apt,75,3,4,0.23,1,325
13005,Steglitz - Zehlendorf,Albrechtstr.,Entire home/apt,80,14,2,0.12,1,130
13006,Mitte,Moabit West,Private room,37,1,33,1.9,1,75
13007,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,28,2,10,0.57,1,279
13008,Mitte,Osloer Straße,Private room,53,2,1,0.06,1,0
13009,Pankow,Prenzlauer Berg Süd,Entire home/apt,85,2,2,0.12,1,0
13010,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,59,1,2,0.13,1,0
13012,Pankow,Prenzlauer Berg Nord,Private room,35,1,3,0.37,1,0
13013,Mitte,Regierungsviertel,Entire home/apt,100,7,30,3.2,2,226
13015,Neukölln,Neuköllner Mitte/Zentrum,Private room,99,1,7,0.41,1,365
13018,Lichtenberg,Alt-Lichtenberg,Private room,60,2,10,0.62,1,12
13019,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,32,2,7,0.4,2,0
13020,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,50,5,2,0.11,1,0
13021,Neukölln,Reuterstraße,Private room,37,2,4,1.15,1,102
13022,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,80,3,5,0.32,1,0
13023,Lichtenberg,Neu Lichtenberg,Private room,39,3,1,0.06,2,87
13024,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,24,2,2,0.12,1,0
13025,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,90,1,3,0.19,1,179
13026,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,65,2,1,0.06,1,0
13027,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,65,1,10,0.7,1,161
13028,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,23,5,8,0.46,2,0
13029,Steglitz - Zehlendorf,Drakestr.,Entire home/apt,89,5,2,0.13,2,0
13030,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,35,1,14,1.16,2,24
13031,Lichtenberg,Alt-Lichtenberg,Private room,16,1,6,0.35,1,0
13032,Mitte,Moabit West,Private room,39,3,16,0.92,1,0
13033,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,55,3,44,2.56,1,13
13035,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,38,2,2,0.12,1,307
13036,Treptow - Köpenick,Plänterwald,Private room,31,1,29,1.74,1,86
13037,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,69,2,11,0.69,1,3
13038,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,35,4,22,1.9,1,93
13040,Treptow - Köpenick,Baumschulenweg,Private room,27,4,1,0.06,1,0
13041,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,20,4,13,0.75,2,0
13043,Reinickendorf,Nord 2,Entire home/apt,40,1,1,0.06,1,0
13044,Neukölln,Rixdorf,Private room,98,3,11,0.65,1,0
13045,Charlottenburg-Wilm.,Charlottenburg Nord,Entire home/apt,50,4,8,0.49,1,0
13046,Mitte,Moabit Ost,Private room,25,2,12,0.71,1,0
13047,Pankow,Weißensee,Entire home/apt,70,1,104,5.99,1,57
13048,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,50,1,44,2.56,1,310
13049,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,35,4,6,0.37,1,0
13050,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,35,2,47,2.71,1,56
13051,Lichtenberg,Alt-Lichtenberg,Private room,42,4,5,0.32,1,0
13052,Pankow,Pankow Süd,Private room,66,4,12,0.71,1,94
13053,Mitte,Tiergarten Süd,Entire home/apt,55,3,55,3.26,1,10
13055,Pankow,Weißensee,Private room,35,1,49,2.98,1,23
13056,Tempelhof - Schöneberg,Friedenau,Private room,49,4,5,0.31,1,0
13057,Neukölln,Reuterstraße,Entire home/apt,70,3,9,0.53,8,340
13058,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,70,3,10,0.65,8,337
13059,Pankow,Weißensee,Entire home/apt,38,25,5,0.31,1,0
13060,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,40,2,3,0.19,2,0
13061,Pankow,Prenzlauer Berg Nord,Entire home/apt,65,2,4,0.24,1,0
13062,Mitte,Moabit West,Entire home/apt,35,1,43,2.6,1,45
13063,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,25,2,3,0.18,2,0
13064,Neukölln,Reuterstraße,Private room,45,2,12,0.7,1,0
13065,Lichtenberg,Alt-Lichtenberg,Private room,24,4,1,0.07,1,0
13066,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,38,4,10,0.59,2,4
13067,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,120,2,9,0.62,1,24
13068,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,35,5,1,0.07,1,0
13069,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,27,1,4,0.23,1,0
13070,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,80,2,10,0.7,1,1
13071,Tempelhof - Schöneberg,Tempelhof,Private room,30,2,36,2.13,1,6
13072,Pankow,Prenzlauer Berg Nord,Private room,35,100,1,0.06,1,0
13073,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,30,3,4,0.24,1,0
13075,Mitte,Alexanderplatz,Entire home/apt,249,5,21,1.48,1,260
13076,Charlottenburg-Wilm.,Kurfürstendamm,Private room,245,4,9,0.61,2,115
13077,Pankow,Prenzlauer Berg Südwest,Private room,31,4,22,1.33,2,0
13078,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,110,9,2,0.12,1,0
13079,Steglitz - Zehlendorf,Zehlendorf  Nord,Entire home/apt,90,5,14,1.66,2,299
13080,Pankow,Prenzlauer Berg Süd,Entire home/apt,100,5,10,0.62,1,0
13081,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,50,3,42,2.48,1,4
13082,Pankow,Prenzlauer Berg Süd,Entire home/apt,100,1,21,1.31,8,307
13083,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,75,2,72,4.25,1,218
13084,Lichtenberg,Alt-Lichtenberg,Private room,24,3,3,0.17,1,0
13085,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,37,2,59,3.48,1,78
13086,Mitte,Tiergarten Süd,Entire home/apt,239,1,102,5.94,3,263
13087,Pankow,Prenzlauer Berg Nordwest,Private room,32,5,11,0.65,2,0
13088,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,50,7,3,0.17,1,0
13089,Pankow,Helmholtzplatz,Entire home/apt,59,2,8,0.47,2,0
13090,Mitte,Wedding Zentrum,Entire home/apt,90,1,2,0.12,1,12
13091,Lichtenberg,Alt-Lichtenberg,Private room,25,7,6,0.35,1,0
13092,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,53,1,40,3.85,1,159
13093,Mitte,Osloer Straße,Entire home/apt,50,3,6,0.37,1,0
13094,Pankow,Pankow Süd,Private room,25,5,3,0.18,1,0
13095,Reinickendorf,West 2,Private room,33,1,6,0.36,2,26
13096,Charlottenburg-Wilm.,Kurfürstendamm,Entire home/apt,40,5,18,1.08,2,78
13097,Mitte,Brunnenstr. Nord,Entire home/apt,135,3,3,0.18,1,0
13098,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,85,4,4,0.24,1,0
13099,Reinickendorf,Ost 2,Entire home/apt,45,2,38,2.3,1,81
13100,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,65,3,6,0.37,2,0
13101,Neukölln,Reuterstraße,Private room,50,3,7,0.41,2,0
13102,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,52,2,11,0.64,1,70
13103,Treptow - Köpenick,Kölln. Vorstadt/Spindlersf.,Private room,25,2,1,0.09,1,0
13105,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,50,2,44,2.66,1,103
13106,Pankow,Helmholtzplatz,Entire home/apt,39,3,5,0.3,1,0
13107,Mitte,Regierungsviertel,Private room,30,9,5,0.3,1,0
13108,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,45,1,6,0.35,2,0
13109,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,155,5,4,0.27,1,0
13110,Neukölln,Neuköllner Mitte/Zentrum,Private room,30,1,4,0.23,1,0
13112,Tempelhof - Schöneberg,Tempelhof,Private room,25,1,6,0.35,1,0
13113,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,69,3,59,3.51,1,97
13114,Mitte,Moabit West,Private room,40,1,9,0.55,1,9
13115,Neukölln,Neuköllner Mitte/Zentrum,Private room,35,2,70,4.1,1,4
13116,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,38,2,1,0.06,1,0
13117,Charlottenburg-Wilm.,Schloß Charlottenburg,Private room,35,3,2,0.12,1,0
13118,Mitte,Brunnenstr. Süd,Entire home/apt,79,30,8,0.56,1,141
13120,Lichtenberg,Fennpfuhl,Private room,19,2,5,0.29,1,0
13121,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,40,3,10,0.6,1,0
13124,Mitte,Wedding Zentrum,Private room,29,5,2,0.12,1,0
13125,Lichtenberg,Fennpfuhl,Entire home/apt,30,1,14,0.9,1,0
13127,Charlottenburg-Wilm.,Schmargendorf,Private room,38,2,9,0.64,2,7
13128,Neukölln,Reuterstraße,Entire home/apt,70,5,4,0.25,1,0
13129,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,80,3,12,0.72,1,4
13130,Neukölln,Rixdorf,Entire home/apt,40,3,17,1.01,1,5
13131,Mitte,Brunnenstr. Süd,Private room,50,3,11,0.65,1,0
13132,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,60,3,1,0.06,1,0
13133,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,50,7,6,0.36,1,11
13134,Charlottenburg-Wilm.,Neue Kantstraße,Private room,25,1,38,2.28,1,0
13135,Mitte,Moabit Ost,Private room,30,3,4,0.25,1,0
13136,Marzahn - Hellersdorf,Mahlsdorf,Entire home/apt,109,4,7,0.51,1,35
13137,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,239,3,75,4.7,3,322
13138,Tempelhof - Schöneberg,Friedenau,Private room,36,2,38,2.56,1,25
13140,Pankow,Prenzlauer Berg Nord,Private room,46,1,1,0.08,1,0
13141,Mitte,Moabit West,Private room,23,5,4,0.24,2,0
13142,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,144,14,2,0.13,1,169
13143,Steglitz - Zehlendorf,Teltower Damm,Entire home/apt,72,4,2,0.13,1,0
13144,Charlottenburg-Wilm.,Heerstrasse,Private room,48,1,27,1.66,2,37
13146,Neukölln,Rixdorf,Private room,35,3,3,0.18,1,0
13147,Mitte,Moabit Ost,Private room,39,2,32,2.1,1,108
13150,Neukölln,Rixdorf,Entire home/apt,40,2,2,0.12,3,0
13152,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,55,1,15,0.9,1,0
13153,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,35,4,2,0.2,1,16
13154,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,65,4,3,0.52,1,0
13155,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,115,5,3,0.2,1,93
13156,Charlottenburg-Wilm.,Kantstraße,Entire home/apt,50,2,4,0.26,1,0
13157,Pankow,Prenzlauer Berg Süd,Private room,17,5,2,0.12,1,0
13160,Charlottenburg-Wilm.,Kurfürstendamm,Private room,50,2,29,1.76,1,0
13161,Mitte,Parkviertel,Entire home/apt,57,5,2,0.13,1,0
13162,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,50,7,1,0.06,1,0
13163,Mitte,Moabit Ost,Entire home/apt,189,5,6,0.38,1,0
13164,Lichtenberg,Alt-Lichtenberg,Private room,39,2,57,3.4,1,159
13165,Mitte,Parkviertel,Private room,25,1,2,0.12,2,0
13166,Tempelhof - Schöneberg,Friedenau,Private room,25,2,1,0.06,1,0
13167,Neukölln,Schillerpromenade,Private room,25,1,8,0.47,1,224
13168,Mitte,Wedding Zentrum,Entire home/apt,31,2,11,0.71,1,279
13169,Mitte,Alexanderplatz,Entire home/apt,49,5,23,1.58,1,29
13170,Neukölln,Schillerpromenade,Private room,50,2,38,2.69,2,78
13173,Pankow,Prenzlauer Berg Nord,Entire home/apt,90,1,35,2.39,1,27
13174,Neukölln,Schillerpromenade,Private room,29,1,32,2.23,1,26
13175,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,60,3,9,0.57,1,246
13176,Mitte,Moabit West,Private room,34,1,156,9.32,3,8
13177,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,29,1,8,0.48,1,0
13178,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,50,3,2,0.12,1,0
13179,Neukölln,Rixdorf,Private room,30,4,11,0.65,1,72
13180,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,35,2,3,0.19,1,0
13181,Neukölln,Rixdorf,Entire home/apt,50,4,3,0.18,1,155
13182,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,89,2,2,0.12,1,0
13183,Neukölln,Neuköllner Mitte/Zentrum,Private room,33,7,10,0.59,1,0
13184,Charlottenburg-Wilm.,Schloß Charlottenburg,Entire home/apt,42,1,41,2.44,45,141
13185,Mitte,Alexanderplatz,Private room,84,2,45,2.66,1,0
13186,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,160,2,19,1.18,2,200
13187,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,60,7,22,1.33,1,0
13188,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,50,2,25,1.48,2,0
13189,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,88,3,80,4.85,1,0
13190,Neukölln,Reuterstraße,Private room,40,2,11,0.66,1,35
13191,Mitte,Parkviertel,Entire home/apt,35,7,17,1.19,1,42
13192,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,69,5,5,0.31,1,0
13193,Lichtenberg,Alt-Hohenschönhausen Süd,Private room,17,3,35,2.11,2,0
13194,Pankow,Prenzlauer Berg Süd,Entire home/apt,60,1,4,0.31,1,0
13196,Mitte,Moabit West,Entire home/apt,66,5,7,0.44,1,0
13197,Mitte,Moabit West,Shared room,30,3,3,0.19,1,90
13198,Charlottenburg-Wilm.,Halensee,Private room,80,1,2,0.92,2,324
13199,Neukölln,Reuterstraße,Entire home/apt,69,5,9,0.54,1,0
13200,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,52,3,8,0.47,1,0
13201,Pankow,Prenzlauer Berg Nordwest,Private room,30,1,26,1.54,1,42
13203,Pankow,Prenzlauer Berg Ost,Entire home/apt,39,2,9,0.53,1,0
13204,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,20,3,9,0.54,1,0
13205,Mitte,Alexanderplatz,Entire home/apt,75,5,12,0.71,1,1
13206,Pankow,Prenzlauer Berg Nordwest,Private room,24,3,2,0.12,1,0
13207,Pankow,Prenzlauer Berg Südwest,Private room,45,2,18,1.07,1,32
13208,Charlottenburg-Wilm.,Westend,Private room,35,1,16,5.85,1,85
13210,Mitte,Alexanderplatz,Private room,40,3,31,2.06,2,242
13211,Mitte,Wedding Zentrum,Private room,35,2,3,0.18,1,0
13212,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,66,5,1,0.06,1,0
13213,Charlottenburg-Wilm.,Westend,Entire home/apt,50,4,9,0.55,1,9
13214,Neukölln,Reuterstraße,Entire home/apt,60,2,2,0.12,1,0
13215,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,28,4,2,0.13,1,0
13216,Pankow,Prenzlauer Berg Nord,Entire home/apt,39,6,1,0.06,1,0
13217,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,55,6,3,0.18,1,0
13218,Neukölln,Schillerpromenade,Private room,36,20,4,0.27,1,77
13219,Neukölln,Rixdorf,Entire home/apt,70,90,13,0.81,2,311
13220,Treptow - Köpenick,Baumschulenweg,Private room,35,5,3,0.18,1,0
13221,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,40,10,1,0.06,1,0
13222,Lichtenberg,Alt-Lichtenberg,Entire home/apt,45,1,5,0.33,1,0
13223,Charlottenburg-Wilm.,Westend,Entire home/apt,42,2,1,0.09,1,0
13224,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,49,10,10,0.67,1,0
13225,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,55,60,1,0.19,1,248
13226,Steglitz - Zehlendorf,Zehlendorf  Nord,Entire home/apt,33,4,3,0.18,1,0
13227,Mitte,Wedding Zentrum,Private room,30,1,13,0.76,1,165
13228,Neukölln,Neuköllner Mitte/Zentrum,Private room,40,3,1,0.06,1,53
13229,Treptow - Köpenick,Alt  Treptow,Private room,39,1,44,4.24,1,84
13230,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,40,3,2,0.12,2,0
13231,Pankow,Prenzlauer Berg Nord,Entire home/apt,60,6,18,1.09,1,31
13233,Mitte,Alexanderplatz,Entire home/apt,99,3,40,2.39,2,82
13234,Pankow,Pankow Süd,Private room,35,3,1,0.54,1,0
13235,Neukölln,Reuterstraße,Private room,40,10,21,1.37,1,0
13236,Mitte,Brunnenstr. Süd,Entire home/apt,50,3,16,1.02,1,1
13237,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,115,1,11,0.7,1,0
13238,Charlottenburg-Wilm.,Halensee,Entire home/apt,50,1,72,4.31,1,243
13239,Pankow,Prenzlauer Berg Nord,Private room,70,2,4,0.24,3,0
13240,Pankow,Weißensee,Entire home/apt,43,63,6,0.41,13,263
13241,Mitte,Brunnenstr. Nord,Private room,30,2,7,0.42,1,4
13242,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,90,6,2,0.13,1,0
13243,Steglitz - Zehlendorf,Teltower Damm,Private room,48,2,67,4.23,1,64
13244,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,65,2,6,0.36,1,0
13245,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Entire home/apt,35,30,4,0.3,13,237
13247,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,19,3,9,0.55,2,0
13249,Neukölln,Schillerpromenade,Private room,23,2,3,0.18,1,0
13250,Reinickendorf,West 1,Private room,33,1,87,5.17,1,39
13251,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,30,1,2,0.12,1,0
13252,Neukölln,Rixdorf,Private room,25,6,1,0.07,1,0
13253,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,70,1,9,0.66,1,0
13254,Neukölln,Rixdorf,Entire home/apt,60,5,4,0.26,2,3
13255,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,31,1,7,0.59,1,0
13256,Mitte,Moabit West,Private room,30,2,7,0.42,2,0
13257,Pankow,Prenzlauer Berg Nord,Entire home/apt,70,3,10,0.81,1,3
13258,Pankow,Pankow Zentrum,Entire home/apt,100,6,2,0.13,1,251
13259,Mitte,Brunnenstr. Nord,Private room,30,4,14,0.88,1,3
13260,Mitte,Alexanderplatz,Private room,45,4,26,1.54,1,9
13263,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,29,2,14,0.99,2,0
13264,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,85,60,2,0.14,2,358
13265,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,45,5,2,0.12,2,0
13266,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,60,4,17,1.05,1,0
13269,Steglitz - Zehlendorf,Zehlendorf  Nord,Private room,28,3,1,0.07,1,0
13270,Mitte,Tiergarten Süd,Entire home/apt,299,1,31,2.43,18,328
13272,Mitte,Brunnenstr. Süd,Private room,37,3,80,4.76,1,66
13273,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,45,2,2,0.12,1,0
13274,Mitte,Alexanderplatz,Private room,50,1,96,5.71,1,154
13275,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,92,1,37,2.4,1,22
13276,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,42,7,1,0.06,1,0
13278,Pankow,Prenzlauer Berg Süd,Private room,24,1,14,0.86,1,179
13279,Mitte,Moabit Ost,Private room,30,1,9,0.54,1,0
13280,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,52,2,9,0.55,1,0
13281,Reinickendorf,West 4,Private room,20,1,41,2.48,2,0
13282,Pankow,Pankow Süd,Entire home/apt,40,3,3,0.19,1,60
13283,Pankow,Prenzlauer Berg Nord,Private room,75,2,54,3.22,1,37
13284,Mitte,Moabit Ost,Entire home/apt,47,4,4,0.26,1,0
13285,Pankow,Prenzlauer Berg Ost,Private room,50,1,61,3.7,1,239
13286,Tempelhof - Schöneberg,Friedenau,Private room,35,1,5,0.33,1,0
13287,Mitte,Brunnenstr. Süd,Entire home/apt,74,3,13,0.77,1,14
13288,Mitte,Moabit West,Private room,40,2,6,0.37,1,0
13290,Pankow,Prenzlauer Berg Nord,Private room,25,5,3,0.18,2,0
13292,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,35,3,35,2.42,1,33
13293,Neukölln,Rixdorf,Private room,40,2,13,0.85,2,0
13294,Tempelhof - Schöneberg,Tempelhof,Private room,29,1,10,0.61,1,21
13295,Neukölln,Rixdorf,Private room,45,2,18,1.09,2,0
13296,Treptow - Köpenick,Alt  Treptow,Entire home/apt,50,5,6,0.39,2,8
13297,Mitte,Wedding Zentrum,Private room,50,3,6,0.38,1,6
13298,Mitte,Alexanderplatz,Private room,22,5,2,0.12,1,0
13299,Mitte,Moabit Ost,Private room,25,2,2,0.54,1,0
13300,Pankow,Prenzlauer Berg Süd,Entire home/apt,49,4,2,0.25,2,0
13301,Mitte,Brunnenstr. Nord,Entire home/apt,45,1,97,7.31,2,347
13302,Mitte,Alexanderplatz,Entire home/apt,200,2,15,0.91,1,237
13303,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,85,5,4,0.24,1,30
13304,Pankow,Prenzlauer Berg Ost,Private room,37,1,2,0.13,1,0
13305,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,26,1,2,0.12,1,90
13306,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,80,3,44,2.66,1,312
13307,Mitte,Parkviertel,Private room,39,1,4,0.39,2,180
13308,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,24,5,2,0.65,1,0
13309,Lichtenberg,Rummelsburger Bucht,Entire home/apt,120,1,14,0.93,2,11
13310,Mitte,Parkviertel,Private room,36,2,13,0.77,2,364
13311,Mitte,Alexanderplatz,Private room,40,3,63,3.84,1,266
13312,Neukölln,Reuterstraße,Entire home/apt,95,3,5,0.33,1,0
13313,Treptow - Köpenick,Alt  Treptow,Private room,29,3,16,0.96,1,8
13314,Mitte,Brunnenstr. Süd,Entire home/apt,165,3,62,4.08,6,29
13315,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,30,7,1,0.06,1,0
13316,Spandau,Spandau Mitte,Entire home/apt,28,30,1,0.19,19,256
13318,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,41,4,8,0.48,1,19
13319,Mitte,Moabit West,Private room,40,2,19,1.17,1,0
13320,Lichtenberg,Rummelsburger Bucht,Private room,85,1,1,1.0,2,16
13321,Mitte,Tiergarten Süd,Private room,30,2,2,0.12,1,0
13322,Neukölln,Neuköllner Mitte/Zentrum,Private room,28,2,29,1.96,1,57
13323,Mitte,Brunnenstr. Nord,Private room,50,2,67,4.21,1,55
13324,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,99,4,1,0.06,1,0
13325,Mitte,Brunnenstr. Süd,Private room,40,1,18,1.09,1,22
13326,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,55,7,3,0.19,1,0
13327,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,30,1,99,5.89,3,98
13328,Neukölln,Rixdorf,Entire home/apt,100,1,6,0.38,1,0
13330,Neukölln,Schillerpromenade,Entire home/apt,55,3,2,0.25,1,67
13331,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,90,5,52,3.62,1,194
13332,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,30,3,18,1.1,2,317
13333,Treptow - Köpenick,Alt  Treptow,Private room,30,7,1,0.06,1,83
13334,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,20,8,6,0.38,1,98
13335,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,40,5,2,0.12,1,66
13336,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,50,1,25,1.49,1,86
13337,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,45,2,12,0.73,1,0
13338,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,49,2,6,0.47,1,0
13339,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,40,4,8,0.49,1,0
13340,Neukölln,Rixdorf,Private room,39,1,14,2.19,1,342
13342,Neukölln,Schillerpromenade,Entire home/apt,85,1,5,0.31,1,0
13343,Mitte,Alexanderplatz,Entire home/apt,75,2,69,4.36,2,155
13344,Mitte,Regierungsviertel,Entire home/apt,93,3,37,2.27,1,32
13345,Mitte,Wedding Zentrum,Private room,35,61,1,0.09,1,1
13346,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,45,7,2,0.12,1,0
13347,Mitte,Alexanderplatz,Entire home/apt,150,2,5,0.31,1,79
